"SUBJECT","Subject","LOCATION","Country","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"CPALTT01","Consumer prices: all items","BEL","Belgium","GP","Growth previous period","M","Monthly","2019-09","Sep-2019","PC","Percentage","0","Units",,,-0.458968239397826,,
"CPALTT01","Consumer prices: all items","BEL","Belgium","GP","Growth previous period","M","Monthly","2019-10","Oct-2019","PC","Percentage","0","Units",,,0.35964588712653,,
"CPALTT01","Consumer prices: all items","BEL","Belgium","GP","Growth previous period","M","Monthly","2019-11","Nov-2019","PC","Percentage","0","Units",,,0.0643204998621866,,
"CPALTT01","Consumer prices: all items","BEL","Belgium","GP","Growth previous period","M","Monthly","2019-12","Dec-2019","PC","Percentage","0","Units",,,0.128558310376483,,
"CPALTT01","Consumer prices: all items","BEL","Belgium","GP","Growth previous period","M","Monthly","2020-01","Jan-2020","PC","Percentage","0","Units",,,0.596111518708716,,
"CPALTT01","Consumer prices: all items","BEL","Belgium","GP","Growth previous period","M","Monthly","2020-02","Feb-2020","PC","Percentage","0","Units",,,0.0182332026620522,,
"CPALTT01","Consumer prices: all items","BEL","Belgium","GP","Growth previous period","M","Monthly","2020-03","Mar-2020","PC","Percentage","0","Units",,,-0.164068908941756,,
"CPALTT01","Consumer prices: all items","BEL","Belgium","GP","Growth previous period","M","Monthly","2020-04","Apr-2020","PC","Percentage","0","Units",,,0,,
"CPALTT01","Consumer prices: all items","BEL","Belgium","GP","Growth previous period","M","Monthly","2020-05","May-2020","PC","Percentage","0","Units",,,-0.0730393499497834,,
"CPALTT01","Consumer prices: all items","BEL","Belgium","GP","Growth previous period","M","Monthly","2020-06","Jun-2020","PC","Percentage","0","Units",,,0.06395614435815,,
"CPALTT01","Consumer prices: all items","BEL","Belgium","GP","Growth previous period","M","Monthly","2020-07","Jul-2020","PC","Percentage","0","Units",,,0.219138056975909,,
"CPALTT01","Consumer prices: all items","BEL","Belgium","GP","Growth previous period","M","Monthly","2020-08","Aug-2020","PC","Percentage","0","Units",,,0.0637755102040773,,
"CPALTT01","Consumer prices: all items","BEL","Belgium","GP","Growth previous period","M","Monthly","2020-09","Sep-2020","PC","Percentage","0","Units",,,-0.373304197395968,,
"CPALTT01","Consumer prices: all items","BEL","Belgium","GP","Growth previous period","M","Monthly","2020-10","Oct-2020","PC","Percentage","0","Units",,,0.201060135258626,,
"CPALTT01","Consumer prices: all items","BEL","Belgium","GP","Growth previous period","M","Monthly","2020-11","Nov-2020","PC","Percentage","0","Units",,,-0.16417365924845,,
"CPALTT01","Consumer prices: all items","BEL","Belgium","GP","Growth previous period","M","Monthly","2020-12","Dec-2020","PC","Percentage","0","Units",,,0.0274072720628404,,
"CPALTT01","Consumer prices: all items","BEL","Belgium","GP","Growth previous period","M","Monthly","2021-01","Jan-2021","PC","Percentage","0","Units",,,0.43839620056629,,
"CPALTT01","Consumer prices: all items","BEL","Belgium","GP","Growth previous period","M","Monthly","2021-02","Feb-2021","PC","Percentage","0","Units",,,0.21824133854685,,
"CPALTT01","Consumer prices: all items","BEL","Belgium","GP","Growth previous period","M","Monthly","2021-03","Mar-2021","PC","Percentage","0","Units",,,0.272207603665737,,
"CPALTT01","Consumer prices: all items","BEL","Belgium","GP","Growth previous period","M","Monthly","2021-04","Apr-2021","PC","Percentage","0","Units",,,0.33481132929147,,
"CPALTT01","Consumer prices: all items","BEL","Belgium","GP","Growth previous period","M","Monthly","2021-05","May-2021","PC","Percentage","0","Units",,,0.153318903318902,,
"CPALTT01","Consumer prices: all items","BEL","Belgium","GP","Growth previous period","M","Monthly","2021-06","Jun-2021","PC","Percentage","0","Units",,,0.225123818099951,,
"CPALTT01","Consumer prices: all items","BEL","Belgium","GP","Growth previous period","M","Monthly","2021-07","Jul-2021","PC","Percentage","0","Units",,,0.853548966756528,,
"CPALTT01","Consumer prices: all items","BEL","Belgium","GP","Growth previous period","M","Monthly","2021-08","Aug-2021","PC","Percentage","0","Units",,,0.516703786191527,,
"CPALTT01","Consumer prices: all items","BEL","Belgium","GP","Growth previous period","M","Monthly","2021-09","Sep-2021","PC","Percentage","0","Units",,,-0.248160950101926,,
"CPALTT01","Consumer prices: all items","BEL","Belgium","GP","Growth previous period","M","Monthly","2021-10","Oct-2021","PC","Percentage","0","Units",,,1.46601510439806,,
"CPALTT01","Consumer prices: all items","BEL","Belgium","GP","Growth previous period","M","Monthly","2021-11","Nov-2021","PC","Percentage","0","Units",,,1.25218914185637,,
"CPALTT01","Consumer prices: all items","BEL","Belgium","GP","Growth previous period","M","Monthly","2021-12","Dec-2021","PC","Percentage","0","Units",,,0.095131021361243,,
"CPALTT01","Consumer prices: all items","BEL","Belgium","GP","Growth previous period","M","Monthly","2022-01","Jan-2022","PC","Percentage","0","Units",,,2.22913426645931,,
"CPALTT01","Consumer prices: all items","BEL","Belgium","GP","Growth previous period","M","Monthly","2022-02","Feb-2022","PC","Percentage","0","Units",,,0.633874239350902,,
