Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2019-11-22,1516.28,1516.28,1505.71,1508.25
2019-11-25,1508.25,1513.74,1508.25,1513.74
2019-11-26,1513.74,1516.21,1503.52,1511.13
2019-11-27,1511.13,1511.13,1476.08,1476.08
2019-11-28,1476.08,1485.23,1476.08,1485.23
2019-11-29,1485.23,1492.59,1485.23,1492.59
2019-12-02,1492.59,1492.59,1492.59,1492.59
2019-12-03,1492.59,1492.59,1490.53,1490.53
2019-12-04,1490.53,1494.23,1490.53,1494.23
2019-12-05,1494.23,1494.64,1494.23,1494.64
2019-12-06,1494.64,1494.64,1494.64,1494.64
2019-12-09,1494.64,1494.64,1481.95,1481.95
2019-12-10,1481.95,1489.57,1479.42,1479.42
2019-12-11,1479.42,1485.33,1479.42,1485.33
2019-12-12,1485.33,1485.33,1485.33,1485.33
2019-12-13,1485.33,1487.87,1485.33,1487.87
2019-12-16,1487.87,1500.02,1480.58,1500.02
2019-12-17,1500.02,1500.02,1500.02,1500.02
2019-12-18,1500.02,1500.02,1500.02,1500.02
2019-12-19,1500.02,1514.52,1500.02,1514.52
2019-12-20,1514.52,1514.52,1497.52,1497.52
2019-12-23,1497.52,1497.99,1497.52,1497.99
2019-12-24,1497.99,1529.22,1497.99,1529.22
2019-12-26,1529.22,1545.51,1529.22,1533.36
2019-12-27,1533.36,1533.36,1509.07,1518.72
2020-01-03,1518.72,1518.72,1518.72,1518.72
2020-01-08,1518.72,1532.09,1518.72,1530.12
2020-01-09,1530.12,1530.12,1526.47,1528.44
2020-01-10,1528.44,1528.44,1504.96,1504.96
2020-01-13,1504.96,1504.96,1504.96,1504.96
2020-01-14,1504.96,1508.9,1504.96,1508.9
2020-01-15,1508.9,1515.98,1508.9,1515.98
2020-01-16,1515.98,1515.98,1511.12,1511.12
2020-01-17,1511.12,1515.06,1511.12,1515.06
2020-01-20,1515.06,1515.06,1515.06,1515.06
2020-01-21,1515.06,1515.06,1507.97,1507.97
2020-01-22,1507.97,1507.97,1495.82,1495.82
2020-01-23,1495.82,1504.62,1483.92,1503.44
2020-01-24,1503.44,1506.17,1485.25,1506.17
2020-01-27,1506.17,1522.33,1506.17,1518.6
2020-01-28,1518.6,1518.6,1513.99,1513.99
2020-01-29,1513.99,1518.63,1508.91,1508.91
2020-01-30,1508.91,1510.23,1506.84,1510.23
2020-01-31,1510.23,1512.59,1510.23,1512.59
2020-02-03,1512.59,1531.79,1512.59,1529.36
2020-02-04,1529.36,1554.24,1526.93,1544.52
2020-02-05,1544.52,1581.55,1544.52,1559.04
2020-02-06,1559.04,1595.48,1559.04,1595.48
2020-02-07,1595.48,1610.13,1595.48,1610.13
